Policy,GPE,LOC,ORG,FAC,MISC
"Policy CON-3: The County shall support sustainable agricultural practices, private stewardship programs and activities, and the formation and activities of volunteer stewardship groups in all three major watersheds, particularly agricultural appellation, river, and watershed-based organizations by: a) Supporting grant applications, b) Facilitating access to data, and c) Working to achieve increased landowner participation in sustainable practices and stewardship groups as needed.",,,,,
Policy CON-4: The County recognizes that preserving watershed open space is consistent with and critical to the support of agriculture and agricultural preservation goals.,,,,,
"Policy CON-5: The County shall identify, improve, and conserve Napa County’s rangeland through the following measures: a) Providing a permanent means of preservation of open space areas for rangeland. b) Encouraging responsible brush removal techniques with adequate environmental safeguards, leaving uncleared islands and peninsulas to provide cover for wildlife. c) Staging land conversion operations to minimize adverse environmental impact on the watershed. d) Encouraging livestock management activities to avoid long-term destruction of rangeland productivity and watershed capacity through overgrazing, erosion, or damage to riparian areas. June 23, 2009 Napa County General Plan CON–23",Napa County’s,,Napa County General Plan CON–23,,
"Policy CON-6: The County shall impose conditions on discretionary projects which limit development in environmentally sensitive areas such as those adjacent to rivers or streamside areas and physically hazardous areas such as floodplains, steep slopes, high fire risk areas and geologically hazardous areas. Note to the Reader: Please also see related policies contained within the Safety Element.",,,"the Reader: Please, the Safety Element",,
"Policy CON-7: The County shall enact and enforce regulations which maintain or improve the current level of environmental quality found in Napa County. The County shall uniformly and fairly enforce codes and regulations and shall, with respect to enforcing regulations related to environmental quality, assign high priority to abatement of violations that may constitute actual or potential threats to public health or safety or that may cause significant environmental damage. Enforcement actions shall be designed to discourage significant damage and future violations.",Napa County,,,,
"Policy CON-8: The County will use financial and other incentives to encourage voluntary dedication in easement or fee title to the County of Napa or its designee (such as a local non-profit land trust) of significant habitat areas, as appropriate, to ensure long-term protection for fish and wildlife resources and protection of agricultural lands and open space.",the County of Napa,,,,
"Policy CON-9: The County shall pursue a variety of techniques and practices to achieve the County’s Open Space Conservation policies, including: a) Exclusive agriculture zoning or Transfer of Development Rights. b) Acquisition through purchase, gift, grant, bequest, devise, lease, or otherwise, the fee or any lesser interest or right in real property. c) Williamson Act or other incentives to maintain land in agricultural production or other open space uses. d) Requirements for mitigation of development impacts, either on-site or at other locations in the county or through the payment of in-lieu fees in limited circumstances when impacts cannot be avoided. Note to the Reader: Please see the Recreation and Open Space Element for policies related to protection and acquisition of open space including prohibitions on the use of eminent domain. Napa County General Plan June 23, 2009 CON–24","the County’s Open Space, Napa County",,"Transfer of Development Rights, the Reader: Please",,
"Policy CON-10: The County shall conserve and improve fisheries and wildlife habitat in cooperation with governmental agencies, private associations and individuals in Napa County. [Implemented by Action Item CON NR-2]",Napa County,,,,
"Policy CON-11: The County shall maintain and improve fisheries habitat through a variety of appropriate measures, including the following as well as best management practices developed over time (also see Water Resource Policies, below): a) Consider the feasibility of using reclaimed wastewater as a means of maintaining adequate water flow to support fish life and reduce pollution of the Napa River. b) Consider all feasible ways to maintain and restore sufficient flows and channel characteristics necessary for fish passage consistent with state and federal guidelines. c) Undertake and publicize water use conservation strategies necessary to protect and prolong the duration of in-stream flows for aquatic resources including migrating anadromous fish such as steelhead and Chinook salmon. June 23, 2009 Napa County General Plan CON–25",,the Napa River,Napa County General Plan CON–25,,
Policy CON-12: Public water development projects shall provide an adequate release flow of water to preserve fish populations and public access to the water via public lands. [Implemented by Action Item CON NR-2],,,,,
"Policy CON-13: The County shall require that all discretionary residential, commercial, industrial, recreational, agricultural, and water development projects consider and address impacts to wildlife habitat and avoid impacts to fisheries and habitat supporting special-status species to the extent feasible. Where impacts to wildlife and special-status species cannot be avoided, projects shall include effective mitigation measures and management plans including provisions to: Napa County General Plan June 23, 2009 CON–26",,,"Napa County General Plan June 23, 2009",,
"Policy CON-14: To offset possible losses of fishery and riparian habitat due to discretionary development projects, developers shall be responsible for mitigation when avoidance of impacts is determined to be infeasible. Such mitigation measures may include providing and permanently maintaining similar quality and quantity habitat within Napa County, enhancing existing riparian habitat, or paying in-kind funds to an approved fishery and riparian habitat improvement and acquisition fund. Replacement habitat may occur either on-site or at approved off-site locations, but preference shall be given to on-site replacement.",Napa County,,,,
"Policy CON-15: The County shall establish and update management plans protecting and enhancing the County’s biodiversity and identify threats to biological resources within appropriate evaluation areas, and shall use those plans to create programs to protect and enhance biological resources and to inform mitigation measures resulting from development projects. [Implemented by Action Item CON NR-2] June 23, 2009 Napa County General Plan CON–27",,,Napa County General Plan CON–27,,
"Policy CON-16: The County shall require a biological resources evaluation for discretionary projects in areas identified to contain or potentially contain special-status species based upon data provided in the Baseline Data Report (BDR), California Natural Diversity Database (CNDDB), or other technical materials. This evaluation shall be conducted prior to the approval of any earthmoving activities. The County shall also encourage the development of programs to protect special-status species and disseminate updated information to state and federal resource agencies. [Implemented by Action Item CON NR-5]",,,"the Baseline Data Report, BDR, California Natural Diversity Database, CNDDB",,
"Policy CON-17: Preserve and protect native grasslands, serpentine grasslands, mixed serpentine chaparral, and other sensitive biotic communities and habitats of limited distribution. The County, in its discretion, shall require mitigation that results in the following standards: a) Prevent removal or disturbance of sensitive natural plant communities that contain special-status plant species or provide critical habitat to special-status animal species. b) In other areas, avoid disturbances to or removal of sensitive natural plant communities and mitigate potentially significant impacts where avoidance is infeasible. c) Promote protection from overgrazing and other destructive activities. d) Encourage scientific study and require monitoring and active management where biotic communities and habitats of limited distribution or sensitive natural plant communities are threatened by the spread of invasive non-native species. e) Require no net loss of sensitive biotic communities and habitats of limited distribution through avoidance, restoration, or replacement where feasible. Where avoidance, restoration, or replacement is not feasible, preserve like habitat at a 2:1 ratio or greater within Napa County to avoid significant cumulative loss of valuable habitats. (Also see Policies CON-30 regarding wetlands, and Policy CON-26 regarding riparian and aquatic habitats.) Policy CON-17.5: Periodically review and revise as necessary the list of sensitive biotic communities subject to Policy CON-17, above.",Napa County,,,,
"Policy CON-18: To reduce impacts on habitat conservation and connectivity: a) In sensitive domestic water supply drainages where new development is required to retain between 40 and 60 percent of the existing (as of June 16, 1993) vegetation on- site, the vegetation selected for retention should be in areas designed to maximize habitat value and connectivity. Napa County General Plan June 23, 2009 CON–28",CON–28,,"Napa County General Plan June 23,",,
Policy CON-19: The County shall encourage the preservation of critical habitat areas and habitat connectivity through the use of conservation easements or other methods as well as through continued implementation of the Napa County Conservation Regulations associated with vegetation retention and setbacks from waterways.,,,the Napa County Conservation Regulations,,
"Policy CON-20: The County shall monitor biodiversity and habitat connectivity throughout the County and apply appropriate adaptive management practices as necessary to achieve applicable Natural Resources Goals. Changing conditions may include external forces such as changing state or federal requirements, or changes in species diversity, distribution, etc. [Implemented by Action Item CON NR-5]",,,Natural Resources Goals,,
"Policy CON-21: The County shall initiate and support efforts relating to the identification, quantification, and monitoring of species biodiversity and habitat connectivity throughout Napa County. [Implemented by Action Item CON NR-5]",Napa County,,,,
"Policy CON-22: The County shall encourage the protection and enhancement of natural habitats which provide ecological and other scientific purposes. As areas are identified, they should be delineated on environmental constraints maps so that appropriate steps can be taken to appropriately manage and protect them. June 23, 2009 Napa County General Plan CON–29",,,Napa County General Plan CON–29,,
"Policy CON-23: The County shall work with local resource and land management agencies to develop a comprehensive approach to controlling the spread of non-native invasive species and reducing their extent on both public and private land, including developing an invasive weed ordinance. The Invasive Weed Ordinance shall include among other things regulatory standards for construction activities that occur adjacent to natural areas, including riparian and/or intermittent streams or watercourses, to inhibit the establishment of noxious weeds through accidental seed import.",,,,,
"Policy CON-24: Maintain and improve oak woodland habitat to provide for slope stabilization, soil protection, species diversity, and wildlife habitat through appropriate measures including one or more of the following: a) Preserve, to the extent feasible, oak trees and other significant vegetation that occur near the heads of drainages or depressions to maintain diversity of vegetation type and wildlife habitat as part of agricultural projects. b) Comply with the Oak Woodlands Preservation Act (PRC Section 21083.4) regarding oak woodland preservation to conserve the integrity and diversity of oak woodlands, and retain, to the maximum extent feasible, existing oak woodland and chaparral communities and other significant vegetation as part of residential, commercial, and industrial approvals. c) Provide replacement of lost oak woodlands or preservation of like habitat at a 2:1 ratio when retention of existing vegetation is found to be infeasible. Removal of oak species limited in distribution shall be avoided to the maximum extent feasible. d) Support hardwood cutting criteria that require retention of adequate stands of oak trees sufficient for wildlife, slope stabilization, soil protection, and soil production be left standing. e) Maintain, to the extent feasible, a mixture of oak species which is needed to ensure acorn production. Black, canyon, live, and brewer oaks as well as blue, white, scrub, and live oaks are common associations. f) Encourage and support the County Agricultural Commission’s enforcement of state and federal regulations concerning Sudden Oak Death and similar future threats to woodlands. [Implemented by Action Item CON NR-7]",Preserve,,"the Oak Woodlands Preservation Act, PRC Section 21083.4, the County Agricultural Commission’s",,
"Policy CON-25: The County shall disseminate information to land owners regarding habitat conservation and other natural resources goals and build partnerships to accomplish effective outreach regarding policies, incentives, and regulations.",,,,,
"Policy CON-26: Consistent with Napa County’s Conservation Regulations, natural vegetation retention areas along perennial and intermittent streams shall vary in width with steepness of the terrain, the nature of the undercover, and type of soil. The design and management of natural vegetation areas shall consider habitat and water quality needs, including the needs of native fish and special status species and flood protection where appropriate. Site-specific setbacks shall be established in coordination with Regional Water Quality Control Boards, California Department of Fish and Game, U.S. Fish and Wildlife Service, National Oceanic and Atmospheric Administration National Marine Fisheries Napa County General Plan June 23, 2009 CON–30","Napa County’s, width, Game, U.S.",,"Regional Water Quality Control Boards, California Department of Fish and, Wildlife Service, National Oceanic and Atmospheric Administration National Marine Fisheries Napa County",,
"Policy CON-27: The County shall enforce compliance and continued implementation of the intermittent and perennial stream setback requirements set forth in existing stream setback regulations, provide education and information regarding the importance of stream setbacks and the active management and enhancement/restoration of native vegetation within setbacks, and develop incentives to encourage greater stream setbacks where appropriate. Incentives shall include streamlined permitting for certain vineyard proposals on slopes between 5 and 30 percent and flexibility regarding yard and road setbacks for other proposals. [Implemented by Action Item CON NR-1]",,,,,
"Policy CON-28: To offset possible additional losses of riparian woodland due to discretionary development projects and conversions, developers shall provide and maintain similar quality and quantity of replacement habitat or in-kind funds to an approved riparian woodland habitat improvement and acquisition fund in Napa County. While on-site replacement is preferred where feasible, replacement habitat may be either on-site or off-site as approved by the County.",Napa County,,woodland habitat,,
Policy CON-29: The County shall coordinate its efforts with other agencies and districts such as the Resource Conservation District and share a leading role in developing and providing outreach and education related to stream setbacks and other best management practices that protect and enhance the County’s natural resources. [Implemented by Action Item CON NR-5],,,the Resource Conservation District,,
"Policy CON-30: All public and private projects shall avoid impacts to wetlands to the extent feasible. If avoidance is not feasible, projects shall mitigate impacts to wetlands consistent with state and federal policies providing for no net loss of wetland function.",,,,,
"Policy CON-31: The County shall maintain and improve marshland habitat in the southern part of the county through a variety of appropriate measures, including: a) Utilize reclaimed wastewater for salinity control and management of marshlands, meadows, and salt ponds. b) Establish County Policy for promoting wildlife habitat use within marshland areas such as Coon Island, Fly Bay, Devil’s Slough, North Slough, the area between Napa Slough and South Slough, Fagan Slough Peninsula, (Cargill) Napa Plant Restoration June 23, 2009 Napa County General Plan CON–31","North Slough, Napa Slough, South Slough, Fagan Slough Peninsula","Coon Island, Fly Bay","Cargill, Napa County General Plan CON–31",,
"Policy CON-32: The County shall maintain and improve slough and tidal mudflats habitat with appropriate measures, including the following: a) Filling, dredging, draining, and polluting of mudflats and sloughs should be restricted to provide an adequate supply of oxygen, retain habitat, and maintain food organism production to conserve fish and wildlife and reduce pollution. b) Utilize reclaimed wastewater for salinity control of mudflats and sloughs where needed. c) Evaluate proposed marinas and harbors with regard to alternative sites with first priority for wildlife habitat and impact on scarce landforms such as marshlands. d) Dredging for marina construction and maintenance requires a heavy public subsidy while serving a small portion of the total citizenry. Consideration should be given to having construction and maintenance dredging done by private enterprise rather than public agencies. e) Prevent filling of existing river areas, berm areas, salt ponds, wetlands, and marsh areas because these areas are important for public health and safety as their water surfaces lower the air temperatures, they serve as irreplaceable fish and wildlife habitat, they are subject to amplified earthquake movement and subsoil liquefaction, and they support oxygen-producing plants.",,,,,
"Policy CON-33: The County shall encourage waterfowl in shallow, open shoreline areas of reservoirs by planting appropriate vegetation for waterfowl food, when feasible.",,,,,
Policy CON-34: The County shall seek to identify the need for aggregate and timber resources and provide for the sustainable use and management of resources in the County in a manner that is compatible with environmental conditions.,the County,,,,
"Policy CON-35: The County shall encourage active forest management practices to preserve and maintain existing forests and timberland, allowing for their economic and beneficial use.",,,,,
"Policy CON-36: The County shall encourage and support property owners’ requests for use of the Timber Preserve (TP) zoning district, as allowed by county code. Napa County General Plan June 23, 2009 CON–32",Napa County,,the Timber Preserve (TP,,
"Policy CON-37: The County shall identify, improve, and conserve mineral and aggregate resources and ensure the long-term production and supply as follows: a) The County shall request that the State Department of Conservation conduct a countywide study to assess the location and value of mineral and aggregate resources. b) Identify known mineral resources on the General Plan Land Use Map or in the Baseline Data Report, based on mapping prepared by the State of California. c) Apply zoning for mineral resource areas and appropriate surrounding areas to allow for resource management and future resource availability. d) Fulfill the County’s responsibilities under the Surface Mining and Reclamation Act (SMARA). e) Encourage compatible use of resource areas such as low density recreation, wildlife habitat, or agriculture and protect resource areas from incompatible uses. f) Continue to enforce established policy on geothermal energy exploration and development (Napa County Code Title 16), considering the potential adverse environmental effects such as noise pollution, air pollution, water pollution, and poorly located transmission lines that can accompany improper geothermal development.","The County, the State of California",,"the State Department of Conservation, the Baseline Data Report, the Surface Mining and Reclamation Act",,
"Policy CON-38: The County shall identify, improve, and conserve Napa County’s sand and gravel resources, preventing removal of streambed sand and gravel in any manner that would cause adverse effects on water quality, fisheries, riparian vegetation, or flooding.",Napa County’s,,,,
"Policy CON-39: Resource extraction activities (e.g., mining and geothermal development) shall fully address environmental implications, such as air pollution, visual distractions, siltation of nearby streams, increase in surface runoff, removal of underground water by pumping, increase in erosion or landslide hazard, disposal of chemical wastes, creation of impervious layers and surface compaction, extent of vegetation removal, and site rehabilitation procedures.",,,,,
"Policy CON-40: Encourage the ongoing reclamation of sand and gravel mining areas through the implementation of reclamation plans. In conformance with state law, all mining operations shall have up-to-date reclamation plans and adequate financial assurances to the satisfaction of the County. NATURAL RESOURCES GOALS/POLICIES ACTION ITEMS Action Item CON NR-1: Amend the Conservation Regulations to offer incentives such as a streamlined review process for new vineyard development and other projects that incorporate environmentally sustainable practices that avoid or mitigate significant environmental impacts. [Implements Policy 27] June 23, 2009 Napa County General Plan CON–33",,,Napa County General Plan CON–33,,
"Policy CON-41: The County will work to protect Napa County’s watersheds and public and private water reservoirs to provide for the following purposes: a) Clean drinking water for public health and safety; b) Municipal uses, including commercial, industrial and domestic uses; c) Support of the eco-systems; d) Agricultural water supply; e) Recreation and open space; and f) Scenic beauty.",Napa County’s,,,,
"Policy CON-42: The County shall work to improve and maintain the vitality and health of its watersheds. Specifically, the County shall: a) Use all available sources of assistance to protect and enhance the Napa River and its tributaries and watershed to meet or exceed water quality standards imposed by state and federal authorities (e.g., pursue grants and other funding opportunities to assist in the identification, testing, and improvement of individual septic as well as community waste disposal systems, and to support watershed monitoring/sampling and scientific understanding to inform and develop effective and targeted management options in an adaptive and locally driven manner). b) Reduce water pollutants through education, monitoring, and pollutant elimination programs (e.g., watershed education and monitoring programs identified in the Watershed Information Center and Conservancy (WICC) Strategic Plan and Napa County/Resource Conservation District (RCD) Watershed Programs, and pollution reduction goals outlined in Napa County’s Phase II National Pollution Discharge Elimination System (NPDES) General Permit from the State Water Board). c) Support voluntary cooperative efforts in watershed planning to identify and establish habitat enhancement goals on various reaches of the Napa River and its tributaries, including, but not limited to, the development of localized watershed management plans, project identification, implementation and monitoring to support adaptive management (e.g., Napa Green Certified Land/Fish Friendly Farming, Rutherford Dust Restoration Team, Resource Conservation District’s Stewardship Program, on- and off-site habitat protection and mitigation programs, and dozens of other active efforts currently planned or now underway). d) Support environmentally sustainable agricultural techniques and best management practices (BMPs) that protect surface water and groundwater quality and quantity (e.g., cover crop management, integrated pest management, informed surface water withdrawals and groundwater use). Napa County General Plan June 23, 2009 CON–36","the County, Napa County/Resource Conservation District, Napa County’s","the Napa River, the Napa River","the Watershed Information Center and Conservancy, NPDES, the State Water Board, Napa Green Certified Land/Fish Friendly Farming, Napa County General Plan June 23, 2009",,
"Policy CON-43: Pursuant to the Open Space and Conservation goals and policies that conserve open space and recreational resources, the County shall protect and enhance watershed lands, including the downstream delivery of essential watershed resources and benefits from headwater channels. The County’s efforts shall include: a) Preserving and where economically feasible restoring the density and diversity of water dependent species and continuous riparian habitats based on sound ecological principles; and b) Supporting the acquisition, development, maintenance and restoration of habitat lands for wildlife and watershed enhancement where clearly consistent with General Plan policies.",,,,,
"Policy CON-44: The County shall identify, improve, and conserve Napa County’s surface water resources through the following measures: a) Evaluate and develop land use policies resulting in the appropriate density and mix of impervious surface and stable vegetation cover to improve water quality and reduce surface water pollution and siltation within domestic water supply watersheds. b) Encourage public agencies and private individuals to explore environmentally sensitive ways to store winter runoff in consultation with the State Department of Water Resources and other regulatory agencies. c) Promote a balanced approach to managing reservoir outflows, particularly municipal supply reservoirs, through coordination with cities and town to maintain a reliable water supply for domestic uses, minimize flooding, and preserve fish habitat and riparian vegetation. d) Work with other agencies to develop a comprehensive understanding of potential deficiencies in surface water supplies, and coordinate with private property owners on a voluntary basis to collect additional surface water data and implement an expanded voluntary monitoring effort to ensure development of effective water June 23, 2009 Napa County General Plan CON–37",Napa County’s,,"the State Department of Water Resources, Napa County General Plan CON–37",,
"Policy CON-45: Protect the County’s domestic supply drainages through vegetation preservation and protective buffers to ensure clean and reliable drinking water consistent with state regulations and guidelines. Continue implementation of current Conservation Regulations relevant to these areas, such as vegetation retention requirements, consultation with water purveyors/system owners, implementation of erosion controls to minimize water pollution, and prohibition of detrimental recreational uses. [Implemented by Action Item CON WR-3]",,,,,
"Policy CON-46: Napa County’s past, present, and future are intertwined with that of the Napa River; therefore, the County is committed to improving and sustaining the health of the river, through attaining water quality and habitat enhancement goals, supporting public access to the river for visual appreciation and recreational purposes, and completing federal, state, and local flood control projects that are consistent with “living rivers” principles.",Napa County’s,the Napa River,,,
"Policy CON-47: The County shall comply with applicable Water Quality Control/Basin Plans as amended through the Total Maximum Daily Load (TMDL) process to improve water quality. In its efforts to comply, the following may be undertaken: a) Monitoring water quality in impaired waterbodies identified by the Regional Water Quality Control Board(s). b) Addressing failing septic systems in the vicinity of Murphy, Browns Valley, and Salvador Creeks and throughout the County, should they be found to exist. c) Retrofitting County-maintained roads to reduce sediment caused by runoff. d) Supporting voluntary habitat restoration and bank stabilization efforts, with particular focus on the main stem and main tributaries of the Napa River. e) Ensuring continued effectiveness of the National Pollution Discharge Elimination System (NPDES) program and storm water pollution prevention. f) Ensuring continued effectiveness of the County’s Conservation Regulations related to vineyard projects and other earth-disturbing activities. g) Addressing effects related to past and current mining, grazing, and other activities to the extent feasible. h) Amending the County’s Conservation Regulations or County Code to address excessive sediment delivered to waterways as required by state law, particularly as it relates to private roads and rural unimproved (i.e., dirt or gravel) roads. i) Developing outreach and education programs to inform land owners and managers about improving surface water quality (e.g., rural and private road maintenance, soil and vegetation retention, construction site management, runoff control, etc.) and cooperating with other governmental and non-governmental agencies seeking to establish waiver or certification programs. [Implemented by Action Item CON WR-4] Napa County General Plan June 23, 2009 CON–38","Retrofitting County, CON–38",the Napa River,"Water Quality Control/Basin, the Total Maximum Daily Load (TMDL, the Regional Water Quality Control Board(s, Murphy, the National Pollution Discharge Elimination System, NPDES, the County’s Conservation Regulations, the County’s Conservation Regulations or County Code",,
"Policy CON-48: Proposed developments shall implement project-specific sediment and erosion control measures (e.g., erosion control plans and/or stormwater pollution prevention plans) that maintain pre-development sediment erosion conditions or at minimum comply with state water quality pollution control (i.e., Basin Plan) requirements and are protective of the County’s sensitive domestic supply watersheds. Technical reports and/or erosion control plans that recommend site-specific erosion control measures shall meet the requirements of the County Code and provide detailed information regarding site specific geologic, soil, and hydrologic conditions and how the proposed measure will function.",,,Basin Plan,,
Policy CON-49: The County shall develop and implement a water quality monitoring program (or programs) to track the effectiveness of temporary and permanent Best Management Practices (BMPs) to control soil erosion and sedimentation within watershed areas and employ corrective actions for identified water quality issues (in violation of Basin Plans and/or associated TMDLs) identified during monitoring. [Implemented by Action Item CON WR-4],,,Best Management Practices,,
"Policy CON-50: The County will take appropriate steps to protect surface water quality and quantity, including the following: a) Preserve riparian areas through adequate buffering and pursue retention, maintenance, and enhancement of existing native vegetation along all intermittent and perennial streams through existing stream setbacks in the County’s Conservation Regulations (also see Policy CON-27 which retains existing stream setback requirements). b) Encourage flood control reduction projects to give full consideration to scenic, fish, wildlife, and other environmental benefits when computing costs of alternative methods of flood control. c) The County shall require discretionary projects to meet performance standards designed to ensure peak runoff in 2-, 10-, 50-, and 100-year events following development is not greater than predevelopment conditions. d) Maintain minimum lot sizes of not less than 160 acres in Agriculture, Watershed, and Open Space (AWOS) designated areas to reflect desirable densities based on access, slope, productive capabilities for agriculture and forestry, sewage disposal, water supply, wildlife habitat, and other environmental considerations. e) In conformance with National Pollution Discharge Elimination System (NPDES) requirements, prohibit grading and excavation unless it can be demonstrated that such activities will not result in significant soil erosion, silting of lower slopes or waterways, slide damage, flooding problems, or damage to wildlife and fishery habitats. f) Adopt development standards, in conformance with NPDES Phase II requirements, for post-construction storm water control. g) Address potential soil erosion by maintaining sections of the County Code that require all construction-related activities to have protective measures in place or installed by the grading deadlines established in the Conservation Regulations. In June 23, 2009 Napa County General Plan CON–39","The County, Agriculture, Watershed",,"the County’s Conservation Regulations, 50-, AWOS, National Pollution Discharge Elimination System, NPDES, Napa County General Plan",NPDES Phase II,
"Policy CON-51: Recognizing that groundwater best supports agricultural and rural uses, the County discourages urbanization requiring net increases in groundwater use and discourages incorporated jurisdictions from using groundwater except in emergencies or as part of conjunctive-use programs that do not cause or exacerbate conditions of overdraft or otherwise adversely affect the County’s groundwater resources.",,,,,
"Policy CON-52: Groundwater is a valuable resource in Napa County. The County encourages responsible use and conservation of groundwater and regulates groundwater resources by way of its groundwater ordinances. [Implemented by Action Items CON WR-6 and 9] Policy CON-52.5: Over time, the County should seek ways to increase the institutional capacity and level of expertise within the County related to groundwater issues.",Napa County,,CON,,
"Policy CON-53: The County shall ensure that the intensity and timing of new development are consistent with the capacity of water supplies and protect groundwater and other water supplies by requiring all applicants for discretionary projects to demonstrate the availability of an adequate water supply prior to approval. Depending on the site location and the specific circumstances, adequate demonstration of availability may include evidence or calculation of groundwater availability via an appropriate hydrogeologic analysis or may be satisfied by compliance with County Code “fair-share” provisions or applicable State 19 Flood Insurance Rate Map, Napa County, California, Map Number 06055CIND0A (index sheet), Effective Date: September 26, 2008 Napa County General Plan June 23, 2009 CON–40","Napa County, California, CON–40",,"State, Effective Date, Napa County General Plan June 23,",,
"Policy CON-54: The County shall maintain or enhance infiltration and recharge of groundwater aquifers by requiring all projects in designated groundwater deficient areas as identified in the County’s groundwater ordinance (County Code Chapter 13.15) be designed (at minimum) to maintain a site’s predevelopment groundwater recharge potential, to the extent feasible, by minimizing impervious surfaces and promoting recharge (e.g., via the use of water retention/detention structures, use of permeable paving materials, bio- swales, water gardens, cisterns, and other best management practices). [Implemented by Action Item CON WR-5]",,,,,
"Policy CON-55: The County shall consider existing water uses during the review of new water uses associated with discretionary projects, and where hydrogeologic studies have shown that the new water uses will cause significant adverse well interference or substantial reductions in groundwater discharge to surface waters that would alter critical flows to sustain riparian habitat and fisheries or exacerbate conditions of overdraft, the County shall curtail those new or expanded water uses. [Implemented by Action Item CON WR-6]",,,,,
Policy CON-56: The County shall discourage the drilling or operation of any new wells in known areas of saltwater intrusion until such time as a program has been approved and funded which will minimize or avoid expansion of salt water intrusion into useable groundwater supplies.,,,,,
"Policy CON-57: The County shall work with appropriate agencies and districts to develop an understanding of potential groundwater deficiencies and coordinate with private property owners to voluntarily collect groundwater data, including implementing effective water management and conservation strategies and encouraging exploration and use of alternative (e.g., non-groundwater) water supplies where feasible to further conserve existing groundwater resources. [Implemented by Action Items CON WR-8 and 9]",,,,,
"Policy CON-58: Recognizing the difficulty of assessing and resolving groundwater problems, the County shall periodically review and update groundwater policies and ordinances as new studies and monitoring data become available to protect the County’s surface water and groundwater resources, and implement various protective recommendations outlined in the 2050 Napa Valley Water Resources Study as appropriate (West Yost & Assoc., 2005). [Implemented by Action Item WR-9]",,,"Napa Valley Water Resources Study, West Yost & Assoc",,
"Policy CON-59: The County shall disseminate available information (online or in report format) on groundwater levels on an aggregated drainage basin level or other aggregated scale that is appropriate based on data availability and confidentiality. [Implemented by Action Item WR-5] June 23, 2009 Napa County General Plan CON–41",,,Napa County General Plan CON–41,,
"Policy CON-60: The County shall promote cost-effective water conservation and water efficiency measures that reduce water loss, waste, and water demand through the following measures: a) Taking a leadership role in water conservation efforts, by monitoring and publicly reporting on the County’s water use, using low flow fixtures, drought-tolerant landscaping, drip irrigation, recycled water use where available and appropriate, periodic water use “audits” and other strategies to conserve water at all County- owned and operated facilities. b) Requiring the use of water conservation measures in areas served by municipal supplies to improve water use efficiency and reduce overall demand including, but not limited to, working cooperatively with all water providers and with developers to incorporate water conservation measures into project designs (e.g., as recommended by the California Urban Water Conservation Council), and coordination with water providers to continue to develop and implement water drought contingency plans to assist County citizens and businesses in reducing water use during periods of water shortages and emergencies. c) Seeking cooperative partnerships with government agencies, non-profit organizations, private industry groups, and individuals in furthering water conservation strategies in Napa County. [Implemented by Action Item CON WR-9] Policy CON-60.5: All aspects of landscaping from the selection of plants to soil preparation and the installation of irrigation systems should be designed to reduce water demand, retain runoff, decrease flooding, and recharge groundwater.",Napa County,,the California Urban Water Conservation Council,,
"Policy CON-61: The County shall coordinate and collaborate with other agencies to identify, improve, and conserve Napa County’s community and municipal water supply resources as follows: a) Environmentally sustainable water supply projects should receive priority attention, including development of sustainable alternative water supplies such as the use of recycled water or other options for non-potable uses in Carneros and the MST groundwater basins. b) Manage potential disruptions in water supply from reduced Sierra snow-pack and related drought conditions to ensure a stable water supply in the future by purchasing additional supplies or entitlements, including opportunities to purchase dry year water supplies, modifying standard operational procedures and/or facilities to enhance the availability of local water resources, and planning for water supply treatment facilities and delivery systems to urbanized areas of the county. [Implemented by Action Item CON WR-7]","Napa County’s, Carneros",,"MST, Sierra",,
"Policy CON-62: As stated in Policy AG/LU-74, the County supports the extension of recycled water to the Coombsville area to reduce reliance on groundwater in the MST groundwater basin and exploration of other alternatives. Also, the County shall identify and support ways to utilize recycled water for irrigation and non-potable uses to offset dependency on Napa County General Plan June 23, 2009 CON–42",,Coombsville,"Policy AG/LU-74, MST, Napa County General Plan June 23,",,
"Policy CON-63: The County will support the work of the Watershed Information Center and Conservancy (WICC) Board as a clearinghouse for watershed information, a forum for citizen and interagency discussion and cooperation, and development and coordination of watershed monitoring efforts and strategic planning. [Implemented by Action Items CON WR-4, 7, 8, and 9]",,,the Watershed Information Center and Conservancy,,
"Policy CON-64: The County shall monitor the rise in sea levels and resulting saltwater intrusion into surface waters and use adaptive management strategies to modify County practices when warranted. [Implemented by Action Item CON WR-4, 8, and 9] WATER RESOURCES ACTION ITEMS Action Item CON WR-1: Develop basin-level watershed management plans for each of the three major watersheds in Napa County (Napa River, Putah Creek, and Suisun Creek). Support each basin-level plan with focused sub-basin (drainage-level) or evaluation area-level implementation strategies, specifically adapted and scaled to address identified water resource problems and restoration opportunities. Plan development and implementation shall utilize a flexible watershed approach to manage surface water and groundwater quality and quantity. The watershed planning process should be an iterative, holistic, and collaborative approach, identifying specific drainage areas or watersheds, eliciting stakeholder involvement, and developing management actions supported by sound science that can be effectively implemented. [Implements Policies 42 and 44] Action Item CON WR-2: [Reserved] Action Item CON WR-3: Update the Conservation Regulations to establish an appropriate protective buffer (e.g., a special protection zone) in areas that drain toward any intake structure associated with the County’s sensitive domestic water supply June 23, 2009 Napa County General Plan CON–43","Napa County, Putah Creek",Napa River,Napa County General Plan CON–43,,
